ID,Reason 1,Reason 2,Reason 3,Reason 4,Year,Month,Day,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
22,0,0,0,1,2018,6,1,179,26,30,237.65599999999998,19,3,0,0,3
10,1,0,0,0,2018,6,4,361,52,28,237.65599999999998,27,1,1,4,11
14,0,0,0,1,2018,6,6,155,12,34,237.65599999999998,25,1,2,0,8
17,0,0,0,1,2018,6,8,179,22,40,237.65599999999998,22,2,2,0,6
14,1,0,0,0,2018,6,8,155,12,34,237.65599999999998,25,1,2,0,16
28,1,0,0,0,2018,6,11,225,26,28,237.65599999999998,24,1,1,2,14
16,1,0,0,0,2018,6,13,118,15,46,275.089,25,1,2,0,16
22,0,0,0,1,2018,6,13,179,26,30,275.089,19,3,0,0,2
34,0,0,0,1,2018,6,15,118,10,37,275.089,28,1,0,0,4
34,1,0,0,0,2018,6,20,118,10,37,275.089,28,1,0,0,13
23,0,0,0,1,2018,6,21,378,49,36,275.089,21,1,2,4,3
36,0,0,1,0,2018,6,21,118,13,50,275.089,31,1,1,0,15
12,0,0,1,0,2018,6,22,233,51,31,275.089,21,2,1,8,10
22,0,0,0,1,2018,6,22,179,26,30,275.089,19,3,0,0,1
2,0,0,0,0,2018,6,25,235,29,48,275.089,33,1,1,5,0
21,0,0,0,0,2018,6,28,268,11,33,275.089,25,2,0,0,0
36,0,0,1,0,2018,6,28,118,13,50,275.089,31,1,1,0,15
22,1,0,0,0,2018,6,28,179,26,30,275.089,19,3,0,0,10
15,0,0,0,1,2018,6,28,291,31,40,275.089,25,1,1,1,3
22,1,0,0,0,2018,7,2,179,26,30,275.089,19,3,0,0,11
34,0,0,0,1,2018,7,2,118,10,37,275.089,28,1,0,0,5
12,0,0,0,1,2018,7,5,233,51,31,275.089,21,2,1,8,1
34,1,0,0,0,2018,7,6,118,10,37,275.089,28,1,0,0,14
34,1,0,0,0,2018,7,11,118,10,37,275.089,28,1,0,0,14
12,0,0,0,1,2018,7,11,233,51,31,275.089,21,2,1,8,0
5,0,0,0,1,2018,7,11,235,20,43,264.60400000000004,38,1,1,0,4
12,0,0,1,0,2018,7,13,233,51,31,264.60400000000004,21,2,1,8,11
9,1,0,0,0,2018,7,16,228,14,58,264.60400000000004,22,1,2,1,17
34,0,0,0,1,2018,7,16,118,10,37,264.60400000000004,28,1,0,0,5
9,1,0,0,0,2018,7,17,228,14,58,264.60400000000004,22,1,2,1,17
6,0,0,0,1,2018,7,17,189,29,33,264.60400000000004,25,1,2,2,5
34,0,0,0,1,2018,7,18,118,10,37,264.60400000000004,28,1,0,0,5
10,0,0,0,1,2018,7,18,361,52,28,264.60400000000004,27,1,1,4,1
28,0,0,0,1,2018,7,18,225,26,28,264.60400000000004,24,1,1,2,4
13,1,0,0,0,2018,7,23,369,17,31,264.60400000000004,25,1,3,0,16
11,1,0,0,0,2018,7,24,289,36,33,264.60400000000004,30,1,2,1,12
1,1,0,0,0,2018,7,24,235,11,37,264.60400000000004,29,3,1,1,11
4,0,0,0,0,2018,7,24,118,14,40,271.219,34,1,1,8,0
8,0,0,0,0,2018,7,25,231,35,39,271.219,35,1,2,2,0
35,0,0,0,0,2018,7,27,179,45,53,271.219,25,1,1,1,1
